epoch,accuracy,loss,val_accuracy,val_loss
0,0.7720000147819519,0.6116125583648682,0.8987500071525574,0.25170814990997314
1,0.8579999804496765,0.34813225269317627,0.8062499761581421,0.4228728115558624
2,0.8849999904632568,0.28179851174354553,0.8987500071525574,0.2618178427219391
3,0.9114999771118164,0.2413444221019745,0.8974999785423279,0.2735385596752167
4,0.9169999957084656,0.22403842210769653,0.8737499713897705,0.376107782125473
5,0.921500027179718,0.1962985396385193,0.8924999833106995,0.28663507103919983
6,0.9390000104904175,0.163330078125,0.8824999928474426,0.4351280927658081
7,0.9265000224113464,0.17666368186473846,0.8999999761581421,0.3282718360424042
8,0.9465000033378601,0.1323259472846985,0.8962500095367432,0.3293660283088684
9,0.9555000066757202,0.12408973276615143,0.8812500238418579,0.472800612449646
